campaign_name,campaign_logo,automation,last_updated_at,code,date,original_currency,country,customer_type,ad_set,month,month_number,order_id,aov,net_orders,net_revenue,net_sales_amount,net_sales_amount_usd,net_aov_usd,orders,revenue,sales_amount,sales_amount_usd,aov_usd
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,NBF39,03-01-22,AED,ARE,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,1,2.5,106.5,28.999311,28.999311
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,YN72,01-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,1,2.5,95.13244,25.90399262,25.90399262
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,ارض,05-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,1,2.5,194.4466333,52.94665158,52.94665158
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,OX14,18-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,2,5,430.7303867,117.2852999,58.64264995
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,HY67,31-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,8,20,1443.449193,393.0425547,49.13031933
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,HY61,24-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,7,17.5,2863.75674,779.7837778,111.3976825
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,CM14,01-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,1,2.5,155.3712333,42.30665461,42.30665461
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,HY64,28-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,1,2.5,275.4864667,75.01331196,75.01331196
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,HY67,30-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,10,25,1539.032127,419.0692139,41.90692139
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,HY68,24-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,3,7.5,762.5187267,207.6292742,69.20975805
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,HY69,18-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,2,5,487.5121333,132.7466288,66.37331442
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,YN73,01-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,2,5,887.4424867,241.6452645,120.8226322
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,ارض,02-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,2,5,460.1985267,125.3092976,62.65464881
Bath and Body Works EG,https://cdn.arabyads.com/boostiny//campaigns/November2020/zGBCYmoF5M6C1YfLAmMI.png,data_studio,17-06-22 9:37,A037,04-01-22,USD,egy,new,5%,Jan-22,Jan-22,1-149,NA,0,0,0,0,,1,1.8,41.52085252,41.52085252,41.52085252
Bath and Body Works EG,https://cdn.arabyads.com/boostiny//campaigns/November2020/zGBCYmoF5M6C1YfLAmMI.png,data_studio,17-06-22 9:37,A037,19-01-22,USD,egy,returning,5%,Jan-22,Jan-22,Jan-35,NA,0,0,0,0,,1,1.2,25.77545666,25.77545666,25.77545666
Bath and Body Works EG,https://cdn.arabyads.com/boostiny//campaigns/November2020/zGBCYmoF5M6C1YfLAmMI.png,data_studio,17-06-22 9:37,A060,03-01-22,USD,egy,new,5%,Jan-22,Jan-22,Jan-82,NA,0,0,0,0,,1,1.8,34.19419495,34.19419495,34.19419495
Mumzworld,https://cdn.arabyads.com/boostiny//campaigns/November2021/ONiRpI6rFiCzZdnCV4Ta.png,data_studio,17-06-22 9:37,FZ373,14-01-22,USD,ARE,new,Paused Codes,Jan-22,Jan-22,NA-86,NA,0,0,0,0,,1,7.2,143.9400545,143.9400545,143.9400545
Mumzworld,https://cdn.arabyads.com/boostiny//campaigns/November2021/ONiRpI6rFiCzZdnCV4Ta.png,data_studio,17-06-22 9:37,FZ422,06-01-22,USD,ARE,returning,Paused Codes,Jan-22,Jan-22,NA-69,NA,0,0,0,0,,4,13.78,275.5722071,275.5722071,68.89305177
ASQStore,https://cdn.arabyads.com/boostiny//campaigns/September2021/2CvnmuVNp9q3DwgbhMdD.jpg,google_sheet,17-06-22 9:37,H76,19-01-22,SAR,SAU,N/A,5%,Jan-22,Jan-22,3001714637,NA,0,0,0,0,,1,7.56,405,108.000135,108.000135
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,HY63,27-01-22,AED,ARE,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,1,2.5,198.79,54.12932426,54.12932426
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,HY61,21-01-22,AED,ARE,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,1,2.5,369.36,100.5745118,100.5745118
Bath and Body Works EG,https://cdn.arabyads.com/boostiny//campaigns/November2020/zGBCYmoF5M6C1YfLAmMI.png,data_studio,17-06-22 9:37,A023,01-01-22,USD,egy,returning,5%,Jan-22,Jan-22,1-205,NA,0,0,0,0,,1,1.2,21.49344373,21.49344373,21.49344373
Bath and Body Works EG,https://cdn.arabyads.com/boostiny//campaigns/November2020/zGBCYmoF5M6C1YfLAmMI.png,data_studio,17-06-22 9:37,A161,26-01-22,USD,egy,new,5%,Jan-22,Jan-22,1-108,NA,0,0,0,0,,1,1.8,19.76957165,19.76957165,19.76957165
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,UAE15,12-01-22,AED,SAU,NA,,Jan-22,Jan-22,NA,<=40,0,0,0,0,,1,2.71,110.4688,30.07999143,30.07999143
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,TG15,30-01-22,AED,SAU,NA,tg codes,Jan-22,Jan-22,NA,41-64,0,0,0,0,,1,5.84,238.1738667,64.85331485,64.85331485
Bath and Body Works EG,https://cdn.arabyads.com/boostiny//campaigns/November2020/zGBCYmoF5M6C1YfLAmMI.png,data_studio,17-06-22 9:37,A023,25-01-22,USD,egy,returning,5%,Jan-22,Jan-22,1-178,NA,0,0,0,0,,1,1.2,4.50441375,4.50441375,4.50441375
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,SS1,02-01-22,AED,SAU,NA,20%,Jan-22,Jan-22,NA,41-64,0,0,0,0,,1,5.3,216.2368,58.87998322,58.87998322
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,UAE25,13-01-22,AED,ARE,NA,,Jan-22,Jan-22,NA,>=65,0,0,0,0,,1,9.76,398.4,108.4819296,108.4819296
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,TG30,30-01-22,AED,SAU,NA,tg codes,Jan-22,Jan-22,NA,>=65,0,0,0,0,,1,12.08,492.8592933,134.2026284,134.2026284
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,DINA,10-01-22,AED,ARE,NA,,Jan-22,Jan-22,NA,<=40,0,0,0,0,,1,3.27,133.6,36.3784784,36.3784784
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,SI66,13-01-22,AED,SAU,NA,,Jan-22,Jan-22,NA,41-64,0,0,0,0,,5,21,857.1125333,233.3866002,46.67732003
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,SI66,03-01-22,AED,SAU,NA,,Jan-22,Jan-22,NA,>=65,0,0,0,0,,3,18.34,748.2106667,203.7332753,67.91109176
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,TG93,30-01-22,AED,SAU,NA,tg codes,Jan-22,Jan-22,NA,>=65,0,0,0,0,,1,8.46,345.27376,94.01597321,94.01597321
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,TG93,07-01-22,AED,ARE,NA,tg codes,Jan-22,Jan-22,NA,41-64,0,0,0,0,,4,20.19,824,224.370256,56.092564
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,TG93,20-01-22,AED,SAU,NA,tg codes,Jan-22,Jan-22,NA,>=65,0,0,0,0,,1,6.57,267.9456,72.95997921,72.95997921
Sivvi,https://dl.airtable.com/.attachments/c0e577463123d9f154fff0733f36ad41/742ef97d/Sivvi.png,data_studio,17-06-22 9:37,SS10,03-01-22,AED,SAU,NA,20%,Jan-22,Jan-22,NA,>=65,0,0,0,0,,6,40,1632.186313,444.43454,74.07242333
